id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Lower,Upper,LABEL,SELECTIE,FILTER
1037832,Charming & Sunny lakeside new house,5713208,Mac,,IJburg - Zeeburgereiland,"52,36242553","4,975597774",Entire home/apt,111,5,10,2016-06-05,"0,26",1,344,3153,3784,3153 - 3784,3153,2016
1025835,Private room Amsterdam simply good,3040855,Michael,,IJburg - Zeeburgereiland,"52,36103087","4,975123346",Private room,65,1,44,2016-06-19,"3,91",4,126,3153,3784,3153 - 3784,3153,2016
12788723,Nice family house offers you a nice room,69619241,Lucy,,IJburg - Zeeburgereiland,"52,36210485","4,975304135",Private room,80,1,0,,,1,78,3153,3784,3153 - 3784,3153,2016
12560490,great family house on island,68081836,Ingrid,,IJburg - Zeeburgereiland,"52,3607455","4,977468081",Entire home/apt,200,2,0,,,1,27,3153,3784,3153 - 3784,3153,2016
666704,"All u need, relaxed place Amsterdam",3040855,Michael,,IJburg - Zeeburgereiland,"52,36237921","4,975270168",Private room,55,1,145,2016-06-17,"3,11",4,248,3153,3784,3153 - 3784,3153,2016
11234514,FiRST CHOICE APARTMENT,58568686,Sadi,,Geuzenveld - Slotermeer,"52,37470798","4,800871421",Entire home/apt,120,1,2,2016-05-15,"0,62",1,297,2523,3153,2523 - 3153,2523,2016
4330897,Nice 2 persons-room and +facilities,22486644,Alex,,Osdorp,"52,35098357","4,795756924",Private room,60,2,29,2016-05-22,"1,39",2,359,3153,3784,3153 - 3784,3153,2016
1021761,Modern and spacious appartment!,5624086,Stan,,Bos en Lommer,"52,37772644","4,852287",Entire home/apt,64,3,3,2016-05-15,"0,14",1,167,5676,6307,5676 - 6307,5676,2016
886606,Art apartment Amsterdam,4682226,Benjamim,,Bos en Lommer,"52,3775605","4,852219814",Entire home/apt,90,2,14,2016-06-26,"0,64",1,335,5676,6307,5676 - 6307,5676,2016
4712693,309 Jordaan Apartment 9,1477248,Niels,,Centrum-West,"52,37758225","4,89152659",Entire home/apt,111,28,3,2015-11-04,"0,21",10,194,5676,6307,5676 - 6307,5676,2016
5009826,Green room on the top,12025422,Novella,,Centrum-West,"52,37776038","4,891152139",Private room,110,3,7,2016-06-02,"1,56",4,365,5676,6307,5676 - 6307,5676,2016
9223327,Canal Apartment Herengracht,12856622,Gert-Jan,,Centrum-West,"52,37798301","4,891968704",Entire home/apt,175,2,30,2016-06-26,"3,75",19,311,5676,6307,5676 - 6307,5676,2016
3280410,Canal apartment in historic centre,6295473,Thomas,,Centrum-West,"52,37768522","4,891522748",Entire home/apt,130,5,11,2015-10-01,"0,45",1,0,5676,6307,5676 - 6307,5676,2016
11962815,Old Style City apartment Amsterdam,7594884,Duco,,Centrum-West,"52,37793167","4,891563493",Entire home/apt,219,3,6,2016-06-01,"2,12",17,23,5676,6307,5676 - 6307,5676,2016
2403258,Experience Amsterdam Centre,12227060,Sander,,De Baarsjes - Oud-West,"52,36867991","4,87324019",Entire home/apt,120,3,17,2016-06-24,"1,28",1,35,5676,6307,5676 - 6307,5676,2016
6144445,studio/apartment near city center,18159537,Joost,,De Baarsjes - Oud-West,"52,3686672","4,873124421",Entire home/apt,85,4,3,2016-03-15,"0,22",1,0,5676,6307,5676 - 6307,5676,2016
4434877,Luxurious canal apartment,9137645,Nine,,De Baarsjes - Oud-West,"52,36866322","4,873420425",Entire home/apt,150,2,5,2016-05-01,"0,58",1,184,5676,6307,5676 - 6307,5676,2016
12624441,large houseboat on great location,5702984,Michiel,,De Baarsjes - Oud-West,"52,36916961","4,873174309",Entire home/apt,300,2,7,2016-06-28,"3,68",1,241,5676,6307,5676 - 6307,5676,2016
13571850,"Fantastic family home + garden, in old west-area!",669178,Sammy,,De Baarsjes - Oud-West,"52,36919704","4,873176164",Entire home/apt,149,2,0,,,156,32,5676,6307,5676 - 6307,5676,2016
13144755,Excellent Canal View Apt,11695804,Kathleen,,De Baarsjes - Oud-West,"52,36884714","4,872947735",Entire home/apt,136,3,1,2016-06-21,1,2,341,5676,6307,5676 - 6307,5676,2016
13639001,1 room 2 persons near City Centre / RAI & Business,55957448,Maarten,,De Pijp - Rivierenbuurt,"52,34403794","4,896608191",Private room,58,1,0,,,3,274,5676,6307,5676 - 6307,5676,2016
1319013,ChildfriendlyPeaceful 3floor house!,5240849,Julia,,Centrum-Oost,"52,36937674","4,916365192",Entire home/apt,128,2,26,2016-06-26,"0,79",1,221,5045,5676,5045 - 5676,5045,2016
7450293,Charming prived room in artist loft,39014041,Lieva,,Centrum-Oost,"52,3691004","4,916097383",Private room,95,2,32,2016-06-27,"2,89",1,152,5045,5676,5045 - 5676,5045,2016
7941336,Supercoze home in the Pijp,41442507,Daniel,,De Pijp - Rivierenbuurt,"52,35505578","4,902900453",Entire home/apt,136,2,22,2016-02-29,"2,15",1,150,5045,5676,5045 - 5676,5045,2016
6878306,Modern & new canal groundfloor apt,9725168,Roy En Susan,,De Baarsjes - Oud-West,"52,36110037","4,856214729",Entire home/apt,99,2,50,2016-06-23,"4,05",1,294,5045,5676,5045 - 5676,5045,2016
12075324,Comfort light renovated apt (74m2),25100751,Lieke,,De Baarsjes - Oud-West,"52,36122399","4,856169845",Entire home/apt,120,2,3,2016-06-28,"1,05",1,361,5045,5676,5045 - 5676,5045,2016
3245544,"Renovated, Cosy Appartment & Garden",16418309,Jasper,,De Baarsjes - Oud-West,"52,36107799","4,856263631",Entire home/apt,89,2,6,2016-05-07,"0,26",1,8,5045,5676,5045 - 5676,5045,2016
3087457,Bright waterside apartment for you,9961054,Martijn,,De Baarsjes - Oud-West,"52,36134016","4,856022415",Entire home/apt,140,2,6,2016-05-30,"0,61",1,171,5045,5676,5045 - 5676,5045,2016
12078477,Cozy studio in Amsterdam for two!,64729064,Daniella,,Bijlmer-Centrum,"52,32225989","4,955654344",Entire home/apt,55,1,4,2016-05-08,"1,41",1,0,"1503,19",1892,< 1892,0000,2016
3583322,Luxury  apartment for 4/5  close to the  center,16274382,Gina,,Oud-Oost,"52,3573967","4,908680546",Entire home/apt,200,2,13,2016-05-03,"0,56",3,199,5045,5676,5045 - 5676,5045,2016
8339007,"Private house sleeps 4,free parking",15614204,Marjolein,,De Aker - Nieuw Sloten,"52,34825837","4,789971797",Entire home/apt,130,2,32,2016-06-26,"3,52",2,97,1892,2523,1892 - 2523,1892,2016
12237930,gezellige benedenwoning,65859591,Karin,,Osdorp,"52,35594198","4,788005713",Entire home/apt,60,3,4,2016-06-21,"2,03",1,65,1892,2523,1892 - 2523,1892,2016
9364514,Comfortable stay in AMS-Southeast,48591465,Rosa,,Bijlmer-Centrum,"52,31638188","4,945503965",Private room,50,1,35,2016-06-30,"4,67",1,302,1892,2523,1892 - 2523,1892,2016
6980918,Modern Apartment w Cat (weekly & monthly discount),4816887,Bill,,Noord-West,"52,41696405","4,891143154",Entire home/apt,70,7,3,2016-06-11,"0,3",1,0,1892,2523,1892 - 2523,1892,2016
11051820,Single Room in Shared Flat,20773372,Yu,,Oud-Oost,"52,36213024","4,93024246",Private room,41,3,3,2016-03-29,"0,67",1,0,4414,5045,4414 - 5045,4414,2016
591951,"House on waterfront, last minute reduction!",2580855,Martine,,Bijlmer-Oost,"52,32698144","4,98294891",Entire home/apt,191,2,24,2016-06-26,"0,51",1,346,1892,2523,1892 - 2523,1892,2016
13779421,Short stay room in Amsterdam (in student house),80899279,Ruben,,Bijlmer-Oost,"52,32643008","4,982602235",Private room,27,1,0,,,1,364,1892,2523,1892 - 2523,1892,2016
5878179,Lovely Family home with garden,6221324,Michele,,Geuzenveld - Slotermeer,"52,38355542","4,826959266",Entire home/apt,150,4,2,2015-10-19,"0,21",3,5,4414,5045,4414 - 5045,4414,2016
8164423,Nice room nearby city centre,6221324,Michele,,Geuzenveld - Slotermeer,"52,38348843","4,82721339",Private room,59,2,31,2016-06-11,"3,38",3,119,4414,5045,4414 - 5045,4414,2016
944529,"personal & cosy, home in Amsterdam!",5113662,Stefan,,Geuzenveld - Slotermeer,"52,37758086","4,819476675",Shared room,78,3,21,2016-05-17,"0,51",2,365,1892,2523,1892 - 2523,1892,2016
9599139,Nice room shopping center Amsterdam,49681116,Rosemary,,Geuzenveld - Slotermeer,"52,37690965","4,820593803",Private room,65,1,31,2016-06-12,"4,7",1,341,1892,2523,1892 - 2523,1892,2016
6359298,Room for 2 or 3 guests in Amsterdam,7270724,Luiz,,Geuzenveld - Slotermeer,"52,37642946","4,820083198",Private room,95,1,5,2016-06-29,"2,94",1,335,1892,2523,1892 - 2523,1892,2016
11520797,Bright room in Amsterdam,7555100,Vitor,,Bos en Lommer,"52,38403268","4,848410421",Private room,95,1,0,,,1,150,4414,5045,4414 - 5045,4414,2016
1934989,Room in cosy apt next to centre,7923273,Roberta,,Westerpark,"52,38965203","4,889142496",Private room,70,1,9,2015-11-10,"0,48",1,0,4414,5045,4414 - 5045,4414,2016
7335372,Printed House 4,14574533,Hotel Not Hotel,,De Baarsjes - Oud-West,"52,36559846","4,858521452",Private room,100,1,0,,,23,308,4414,5045,4414 - 5045,4414,2016
8904455,Elegant & Simple Guest Bedroom,40565986,Claudia,,De Baarsjes - Oud-West,"52,36570923","4,858671433",Private room,60,2,23,2016-06-03,"3,15",1,183,4414,5045,4414 - 5045,4414,2016
12541624,Chearfull apartment East Amsterdam!,50834635,Nauli,,Oud-Oost,"52,36120492","4,925671684",Entire home/apt,120,4,2,2016-06-29,"0,87",1,19,4414,5045,4414 - 5045,4414,2016
13594250,Stylish & Spacious 180m2 Deluxe Zuidas Apartment,78567398,Anka,,Buitenveldert - Zuidas,"52,33784532","4,872065514",Entire home/apt,150,3,0,,,1,5,6307,7569,6307 - 7569,6307,2016
7584984,"Big room, 10min to airport & center",39777852,Rafaela,,Buitenveldert - Zuidas,"52,33776423","4,87044912",Private room,99,1,7,2016-07-02,"3,62",1,85,6307,7569,6307 - 7569,6307,2016
13221025,Great Apartment in a fantastic location!,24630452,Pranav,,Buitenveldert - Zuidas,"52,33713783","4,871533242",Entire home/apt,70,1,1,2016-05-28,"0,79",1,0,6307,7569,6307 - 7569,6307,2016
12088146,Luxury & Spacious Apartment,62906743,Elroy,,Buitenveldert - Zuidas,"52,33686143","4,871137186",Entire home/apt,276,5,0,,,1,18,6307,7569,6307 - 7569,6307,2016
13136632,Modern and luxurious apartment in center Amsterdam,73191117,Veronica,,Centrum-Oost,"52,37174352","4,930124955",Entire home/apt,129,1,4,2016-06-20,4,1,0,6307,7569,6307 - 7569,6307,2016
13807292,"Cosy duplex with garden, center Amsterdam",12985036,Juliette,,Centrum-Oost,"52,37104781","4,930080655",Entire home/apt,178,2,0,,,1,41,6307,7569,6307 - 7569,6307,2016
2904582,Family apartment in Amsterdam,4720158,Jet,,Centrum-Oost,"52,37100141","4,929573822",Entire home/apt,140,2,0,,,1,24,6307,7569,6307 - 7569,6307,2016
325165,Studio in the centre of Amsterdam,1636818,Janneke,,Centrum-Oost,"52,37073252","4,928607659",Entire home/apt,80,3,13,2016-06-06,"0,33",1,0,6307,7569,6307 - 7569,6307,2016
